Seq	nItem	prod.indTot	prod.qCom	prod.uCom	prod.vProd	prod.vUnCom	prod.xProd
52	2	1	0.29	KG	19.89	68.6	BUFFET
53	1	1	0.272	KG	18.65	68.6	BUFFET
53	2	1	1	UN	4.5	4.5	REFRIGERANTE
54	1	1	0.436	KG	29.9	68.6	BUFFET
54	2	1	1	UN	4.5	4.5	REFRIGERANTE
55	1	1	0.478	KG	32.79	68.6	BUFFET
55	2	1	1	UN	4.5	4.5	REFRIGERANTE
56	1	1	1	UN	4.5	4.5	SUCO
56	2	1	0.77	KG	52.82	68.6	BUFFET
56	3	1	1	UN	6.8	6.8	HARUMAKI
57	1	1	0.302	KG	20.71	68.6	BUFFET
58	1	1	1	UN	3.5	3.5	CAFE EXPRESSO
58	2	1	0.34	KG	23.32	68.6	BUFFET
58	3	1	1	UN	4.5	4.5	SUCO
59	1	1	1	UN	3.5	3.5	CAFE EXPRESSO
59	2	1	0.554	KG	38	68.6	BUFFET
59	3	1	1	UN	4.5	4.5	REFRIGERANTE
60	1	1	0.336	KG	23.04	68.6	BUFFET
60	2	1	1	UN	4.5	4.5	REFRIGERANTE
61	1	1	1	UN	3.5	3.5	AGUA
61	2	1	0.428	KG	29.36	68.6	BUFFET
61	3	1	1	UN	4.5	4.5	REFRIGERANTE
62	1	1	0.694	KG	47.6	68.6	BUFFET
62	2	1	1	UN	4.5	4.5	REFRIGERANTE
62	3	1	1	UN	4.5	4.5	REFRIGERANTE
63	1	1	1	UN	3.5	3.5	AGUA
63	2	1	2	UN	7	3.5	CAFE EXPRESSO
63	3	1	0.624	KG	42.8	68.6	BUFFET
64	1	1	0.812	KG	55.7	68.6	BUFFET
65	1	1	1	UN	3.5	3.5	AGUA
65	2	1	1.06	KG	72.71	68.6	BUFFET
65	3	1	1	UN	4.5	4.5	REFRIGERANTE
65	4	1	1	UN	4.5	4.5	CERVEJA
65	5	1	1	UN	4.5	4.5	SUCO
66	1	1	1.006	KG	69.01	68.6	BUFFET
66	2	1	1	UN	4.5	4.5	REFRIGERANTE
67	1	1	0.184	KG	12.62	68.6	BUFFET
67	2	1	1	UN	4.5	4.5	REFRIGERANTE
68	1	1	0.472	KG	32.37	68.6	BUFFET
68	2	1	1	UN	8.2	8.2	BULE CHA
69	1	1	0.406	KG	27.85	68.6	BUFFET
69	2	1	1	UN	8.2	8.2	BULE CHA
70	1	1	1	UN	4.5	4.5	SUCO
70	2	1	0.824	KG	56.52	68.6	BUFFET
70	3	1	1	UN	8.2	8.2	BULE CHA
71	1	1	2	UN	9	4.5	SUCO
71	2	1	1	UN	3.5	3.5	AGUA
71	3	1	1.358	KG	93.15	68.6	BUFFET
72	1	1	0.688	KG	47.19	68.6	BUFFET
72	2	1	1	UN	4.5	4.5	REFRIGERANTE
73	1	1	0.476	KG	32.65	68.6	BUFFET
73	2	1	1	UN	4.5	4.5	REFRIGERANTE
74	1	1	0.362	KG	24.83	68.6	BUFFET
75	1	1	1	UN	3.5	3.5	AGUA
75	2	1	1.754	KG	120.32	68.6	BUFFET
75	3	1	1	UN	4.5	4.5	REFRIGERANTE
75	4	1	1	UN	4.5	4.5	REFRIGERANTE
75	5	1	1	UN	4.5	4.5	SUCO
76	1	1	0.48	KG	32.71	68.6	BUFFET
76	2	1	2	UN	9	4.5	REFRIGERANTE
76	3	1	1	UN	3.2	3.2	DOCINHOS
77	1	1	1	UN	3.5	3.5	AGUA
77	2	1	1.65	KG	113.19	68.6	BUFFET
78	1	1	0.196	KG	13.44	68.6	BUFFET
79	1	1	0.356	KG	24.42	68.6	BUFFET
80	1	1	0.684	KG	46.92	68.6	BUFFET
80	2	1	1	UN	4.5	4.5	REFRIGERANTE
81	1	1	0.752	KG	51.58	68.6	BUFFET
81	2	1	1	UN	4.5	4.5	REFRIGERANTE
82	1	1	1	UN	12	12	TEMAKI
82	2	1	1	UN	4.5	4.5	LIMONADA
82	3	1	0.398	KG	27.3	68.6	BUFFET
83	1	1	0.666	KG	45.68	68.6	BUFFET
83	2	1	1	UN	4.5	4.5	REFRIGERANTE
84	1	1	0.856	KG	58.72	68.6	BUFFET
84	2	1	1	UN	4.5	4.5	CERVEJA
85	1	1	0.192	KG	13.17	68.6	BUFFET
86	1	1	0.286	KG	19.61	68.6	BUFFET
87	1	1	0.386	KG	26.47	68.6	BUFFET
87	2	1	1	UN	4.5	4.5	REFRIGERANTE
88	1	1	1	UN	4.5	4.5	LIMONADA
88	2	1	1	UN	15	15	SAKE
88	3	1	1.27	KG	87.26	68.6	BUFFET
89	1	1	1	UN	15	15	SAKE
89	2	1	0.37	KG	25.38	68.6	BUFFET
90	1	1	2	UN	30	15	SAKE
90	2	1	0.73	KG	50.07	68.6	BUFFET
91	1	1	0.326	KG	22.36	68.6	BUFFET
92	1	1	0.576	KG	39.51	68.6	BUFFET
93	1	1	1	UN	9.8	9.8	CERVEJA LATA
93	2	1	1.244	KG	85.33	68.6	BUFFET
93	3	1	1	UN	4.5	4.5	REFRIGERANTE
94	1	1	2	UN	33.6	16.8	WHISKY
94	2	1	5	UN	22.5	4.5	SUCO
94	3	1	2.794	KG	191.66	68.6	BUFFET
94	4	1	5	UN	32.5	6.5	CERVEJA LATA
95	1	1	0.842	KG	57.76	68.6	BUFFET
95	2	1	1	UN	4.5	4.5	REFRIGERANTE
96	1	1	0.324	KG	22.22	68.6	BUFFET
96	2	1	1	UN	4.5	4.5	CERVEJA
97	1	1	0.802	KG	55.01	68.6	BUFFET
97	2	1	1	UN	4.5	4.5	REFRIGERANTE
98	1	1	0.342	KG	23.46	68.6	BUFFET
98	2	1	1	UN	4.5	4.5	REFRIGERANTE
99	1	1	0.436	KG	29.9	68.6	BUFFET
99	2	1	1	UN	4.5	4.5	REFRIGERANTE
100	1	1	0.438	KG	30.04	68.6	BUFFET
101	1	1	0.976	KG	66.95	68.6	BUFFET
101	2	1	1	UN	4.5	4.5	REFRIGERANTE
102	1	1	1	UN	21.6	21.6	SUSHI ESPECIAL
102	2	1	1	UN	76.8	76.8	SUSHI ESPECIAL
102	3	1	1	UN	3.5	3.5	AGUA
102	4	1	1	UN	1	1	CHA
102	5	1	1	UN	3.5	3.5	CAFE EXPRESSO
102	6	1	1	UN	9.8	9.8	SUSHI ESPECIAL
102	7	1	1	UN	15	15	SAKE
102	8	1	0.172	KG	11.79	68.6	BUFFET
103	1	1	2	UN	7	3.5	AGUA
103	2	1	1.536	KG	105.36	68.6	BUFFET
104	1	1	1	UN	4.9	4.9	SUCO
104	2	1	0.364	KG	24.97	68.6	BUFFET
105	1	1	1	UN	1	1	CHA
105	2	1	0.882	KG	60.5	68.6	BUFFET
106	1	1	1.262	KG	86.57	68.6	BUFFET
106	2	1	2	UN	9	4.5	REFRIGERANTE
107	1	1	0.632	KG	43.35	68.6	BUFFET
107	2	1	4	UN	26	6.5	CERVEJA LATA
108	1	1	1.498	KG	102.76	68.6	BUFFET
108	2	1	2	UN	9	4.5	REFRIGERANTE
108	3	1	1	UN	4.5	4.5	SUCO
109	1	1	0.344	KG	23.59	68.6	BUFFET
109	2	1	3	UN	19.5	6.5	CERVEJA LATA
110	1	1	1	UN	4.5	4.5	SUCO
110	2	1	1	UN	3.5	3.5	AGUA
110	3	1	1.408	KG	96.58	68.6	BUFFET
111	1	1	2	UN	9	4.5	SUCO
111	2	1	1	UN	4.9	4.9	SUCO
111	3	1	1.412	KG	96.86	68.6	BUFFET
111	4	1	1	UN	4.5	4.5	REFRIGERANTE
112	1	1	0.51	KG	34.98	68.6	BUFFET
112	2	1	1	UN	4.5	4.5	REFRIGERANTE
113	1	1	0.684	KG	46.92	68.6	BUFFET
113	2	1	1	UN	4.5	4.5	REFRIGERANTE
114	1	1	0.612	KG	41.98	68.6	BUFFET
114	2	1	2	UN	9	4.5	REFRIGERANTE
115	1	1	0.52	KG	35.67	68.6	BUFFET
116	1	1	0.576	KG	39.51	68.6	BUFFET
116	2	1	1	UN	4.5	4.5	REFRIGERANTE
117	1	1	2	UN	7	3.5	AGUA
117	2	1	2.56	KG	175.61	68.6	BUFFET
117	3	1	1	UN	4.5	4.5	REFRIGERANTE
118	1	1	0.402	KG	27.57	68.6	BUFFET
118	2	1	1	UN	4.5	4.5	REFRIGERANTE
119	1	1	1	UN	3.5	3.5	AGUA
119	2	1	2	UN	7	3.5	AGUA
119	3	1	2.82	KG	193.45	68.6	BUFFET
119	4	1	1	UN	4.5	4.5	REFRIGERANTE
119	5	1	1	UN	4.5	4.5	CERVEJA
120	1	1	1	UN	21.6	21.6	SASHIMI
120	2	1	3	UN	13.5	4.5	LIMONADA
120	3	1	2	UN	12	6	CERVEJA LATA
120	4	1	2.57	KG	176.3	68.6	BUFFET
120	5	1	2	UN	9	4.5	REFRIGERANTE
121	1	1	0.826	KG	56.66	68.6	BUFFET
121	2	1	2	UN	9	4.5	CERVEJA
122	1	1	1	UN	3.5	3.5	AGUA
122	2	1	0.272	KG	18.65	68.6	BUFFET
123	1	1	1.388	KG	95.21	68.6	BUFFET
123	2	1	2	UN	9	4.5	REFRIGERANTE
124	1	1	1	UN	4.5	4.5	LIMONADA
124	2	1	2	UN	30	15	CAIPIROSKA
124	3	1	0.828	KG	56.8	68.6	BUFFET
125	1	1	0.41	KG	28.12	68.6	BUFFET
125	2	1	1	UN	4.5	4.5	REFRIGERANTE
126	1	1	0.594	KG	40.74	68.6	BUFFET
126	2	1	1	UN	4.5	4.5	REFRIGERANTE
127	1	1	3	UN	10.5	3.5	AGUA
127	2	1	1	UN	1	1	CHA
127	3	1	0.808	KG	55.42	68.6	BUFFET
127	4	1	3	UN	13.5	4.5	REFRIGERANTE
128	1	1	3	UN	10.5	3.5	AGUA
128	2	1	0.308	KG	21.12	68.6	BUFFET
129	1	1	3	UN	10.5	3.5	AGUA
129	2	1	0.282	KG	19.34	68.6	BUFFET
130	1	1	3	UN	10.5	3.5	AGUA
130	2	1	0.312	KG	21.4	68.6	BUFFET
131	1	1	0.2	KG	13.98	68.6	BUFFET
132	1	1	0.38	KG	26.06	68.6	BUFFET
132	2	1	1	UN	3.2	3.2	DOCINHOS
133	1	1	1	UN	1	1	CHA
133	2	1	0.314	KG	21.54	68.6	BUFFET
134	1	1	0.382	KG	26.2	68.6	BUFFET
135	1	1	0.296	KG	20.3	68.6	BUFFET
136	1	1	0.69	KG	47.12	68.6	BUFFET
136	2	1	6	UN	27	4.5	REFRIGERANTE
137	1	1	0.36	KG	24.69	68.6	BUFFET
137	2	1	3	UN	13.5	4.5	REFRIGERANTE
138	1	1	3	UN	10.5	3.5	AGUA
138	2	1	0.798	KG	54.74	68.6	BUFFET
138	3	1	3	UN	13.5	4.5	REFRIGERANTE
139	1	1	0.368	KG	25.24	68.6	BUFFET
139	2	1	3	UN	13.5	4.5	REFRIGERANTE
140	1	1	3	UN	10.5	3.5	AGUA
140	2	1	3	UN	10.5	3.5	AGUA
140	3	1	0.932	KG	63.93	68.6	BUFFET
141	1	1	3	UN	10.5	3.5	AGUA
141	2	1	0.344	KG	23.59	68.6	BUFFET
142	1	1	3	UN	10.5	3.5	AGUA
142	2	1	0.354	KG	24.28	68.6	BUFFET
143	1	1	3	UN	10.5	3.5	AGUA
143	2	1	0.228	KG	15.64	68.6	BUFFET
144	1	1	1	UN	4.5	4.5	LIMONADA
144	2	1	0.65	KG	44.59	68.6	BUFFET
145	1	1	0.292	KG	20.03	68.6	BUFFET
146	1	1	0.376	KG	25.79	68.6	BUFFET
146	2	1	3	UN	13.5	4.5	REFRIGERANTE
147	1	1	3	UN	10.5	3.5	AGUA
147	2	1	0.444	KG	30.45	68.6	BUFFET
148	1	1	0.518	KG	35.53	68.6	BUFFET
149	1	1	0.438	KG	30.04	68.6	BUFFET
150	1	1	3	UN	13.5	4.5	SUCO
150	2	1	0.322	KG	22.08	68.6	BUFFET
151	1	1	0.316	KG	21.67	68.6	BUFFET
151	2	1	3	UN	13.5	4.5	REFRIGERANTE
152	1	1	0.388	KG	26.61	68.6	BUFFET
152	2	1	3	UN	13.5	4.5	REFRIGERANTE
153	1	1	0.684	KG	46.92	68.6	BUFFET
153	2	1	3	UN	13.5	4.5	SUCO
154	1	1	0.42	KG	28.81	68.6	BUFFET
155	1	1	0.698	KG	47.88	68.6	BUFFET
156	1	1	0.594	KG	40.74	68.6	BUFFET
156	2	1	3	UN	13.5	4.5	SUCO
157	1	1	0.574	KG	39.37	68.6	BUFFET
157	2	1	3	UN	13.5	4.5	REFRIGERANTE
158	1	1	0.482	KG	33.06	68.6	BUFFET
158	2	1	3	UN	13.5	4.5	REFRIGERANTE
159	1	1	0.856	KG	58.72	68.6	BUFFET
159	2	1	3	UN	13.5	4.5	REFRIGERANTE
160	1	1	0.67	KG	45.96	68.6	BUFFET
161	1	1	0.566	KG	38.82	68.6	BUFFET
161	2	1	3	UN	13.5	4.5	REFRIGERANTE
162	1	1	0.446	KG	30.59	68.6	BUFFET
162	2	1	3	UN	13.5	4.5	REFRIGERANTE
163	1	1	0.544	KG	37.31	68.6	BUFFET
163	2	1	3	UN	13.5	4.5	REFRIGERANTE
164	1	1	1.368	KG	93.84	68.6	BUFFET
164	2	1	3	UN	13.5	4.5	REFRIGERANTE
165	1	1	6	UN	21	3.5	AGUA
165	2	1	0.674	KG	46.23	68.6	BUFFET
166	1	1	1.17	KG	80.26	68.6	BUFFET
166	2	1	3	UN	13.5	4.5	REFRIGERANTE
166	3	1	2	UN	9	4.5	CERVEJA
167	1	1	0.452	KG	31	68.6	BUFFET
167	2	1	3	UN	13.5	4.5	REFRIGERANTE
168	1	1	0.354	KG	24.28	68.6	BUFFET
168	2	1	1	UN	4.5	4.5	CERVEJA
169	1	1	0.634	KG	43.49	68.6	BUFFET
169	2	1	3	UN	13.5	4.5	REFRIGERANTE
170	1	1	3	UN	10.5	3.5	AGUA
170	2	1	1.33	KG	91.23	68.6	BUFFET
170	3	1	3	UN	13.5	4.5	REFRIGERANTE
170	4	1	1	UN	6.8	6.8	HARUMAKI
171	1	1	0.594	KG	40.74	68.6	BUFFET
171	2	1	3	UN	13.5	4.5	REFRIGERANTE
172	1	1	0.51	KG	34.98	68.6	BUFFET
173	1	1	0.266	KG	18.24	68.6	BUFFET
174	1	1	0.684	KG	46.92	68.6	BUFFET
175	1	1	1	UN	1	1	CHA
175	2	1	0.536	KG	36.76	68.6	BUFFET
176	1	1	1	UN	1	1	CHA
176	2	1	0.348	KG	23.87	68.6	BUFFET
177	1	1	0.316	KG	21.67	68.6	BUFFET
178	1	1	3	UN	10.5	3.5	AGUA
178	2	1	1.342	KG	92.06	68.6	BUFFET
178	3	1	3	UN	13.5	4.5	REFRIGERANTE
179	1	1	0.314	KG	21.54	68.6	BUFFET
179	2	1	3	UN	13.5	4.5	REFRIGERANTE
180	1	1	3	UN	13.5	4.5	SUCO
180	2	1	3	UN	10.5	3.5	AGUA
180	3	1	1.202	KG	82.45	68.6	BUFFET
180	4	1	3	UN	13.5	4.5	SUCO
181	1	1	1	UN	1	1	CHA
181	2	1	1.234	KG	84.65	68.6	BUFFET
181	3	1	3	UN	13.5	4.5	REFRIGERANTE
182	1	1	0.35	KG	24.01	68.6	BUFFET
183	1	1	0.432	KG	29.63	68.6	BUFFET
183	2	1	3	UN	13.5	4.5	REFRIGERANTE
184	1	1	0.514	KG	35.26	68.6	BUFFET
184	2	1	3	UN	13.5	4.5	REFRIGERANTE
185	1	1	0.324	KG	22.22	68.6	BUFFET
185	2	1	3	UN	13.5	4.5	REFRIGERANTE
186	1	1	0.48	KG	32.92	68.6	BUFFET
186	2	1	3	UN	13.5	4.5	REFRIGERANTE
187	1	1	3	UN	10.5	3.5	AGUA
187	2	1	6	UN	21	3.5	AGUA
187	3	1	1	UN	3.5	3.5	CAFE EXPRESSO
187	4	1	1.068	KG	73.26	68.6	BUFFET
188	1	1	3	UN	13.5	4.5	SUCO
188	2	1	0.984	KG	67.5	68.6	BUFFET
189	1	1	3	UN	10.5	3.5	AGUA
189	2	1	0.846	KG	58.03	68.6	BUFFET
189	3	1	1	UN	3.2	3.2	DOCINHOS
190	1	1	3	UN	13.5	4.5	SUCO
190	2	1	3	UN	10.5	3.5	AGUA
190	3	1	0.846	KG	58.03	68.6	BUFFET
190	4	1	3	UN	13.5	4.5	REFRIGERANTE
191	1	1	3	UN	10.5	3.5	AGUA
191	2	1	1.732	KG	118.81	68.6	BUFFET
191	3	1	3	UN	13.5	4.5	REFRIGERANTE
192	1	1	3	UN	10.5	3.5	AGUA
192	2	1	0.82	KG	56.25	68.6	BUFFET
193	1	1	0.392	KG	26.89	68.6	BUFFET
193	2	1	3	UN	13.5	4.5	REFRIGERANTE
194	1	1	3	UN	10.5	3.5	AGUA
194	2	1	0.274	KG	18.79	68.6	BUFFET
195	1	1	3	UN	10.5	3.5	AGUA
195	2	1	0.706	KG	48.43	68.6	BUFFET
196	1	1	1	UN	9.8	9.8	SUSHI ESPECIAL
196	2	1	0.44	KG	30.18	68.6	BUFFET
197	1	1	0.414	KG	28.4	68.6	BUFFET
198	1	1	0.426	KG	29.22	68.6	BUFFET
198	2	1	1	UN	4.5	4.5	CERVEJA
199	1	1	1	UN	1	1	CHA
199	2	1	0.91	KG	62.42	68.6	BUFFET
199	3	1	3	UN	13.5	4.5	REFRIGERANTE
199	4	1	3	UN	13.5	4.5	REFRIGERANTE
200	1	1	3	UN	13.5	4.5	SUCO
200	2	1	3	UN	10.5	3.5	AGUA
200	3	1	0.842	KG	57.76	68.6	BUFFET
201	1	1	3	UN	13.5	4.5	SUCO
201	2	1	0.276	KG	18.93	68.6	BUFFET
202	1	1	0.628	KG	43.08	68.6	BUFFET
203	1	1	6	UN	21	3.5	AGUA
203	2	1	0.59	KG	40.13	68.6	BUFFET
204	1	1	6	UN	21	3.5	AGUA
204	2	1	1.59	KG	108.85	68.6	BUFFET
204	3	1	1	UN	4.5	4.5	CERVEJA
205	1	1	0.866	KG	59.4	68.6	BUFFET
205	2	1	3	UN	13.5	4.5	REFRIGERANTE
206	1	1	1	UN	20.9	20.9	SAKE
206	2	1	1.306	KG	89.59	68.6	BUFFET
206	3	1	3	UN	13.5	4.5	REFRIGERANTE
207	1	1	1	UN	15	15	SAKE
207	2	1	1.722	KG	118.12	68.6	BUFFET
208	1	1	1	UN	9.8	9.8	SUSHI ESPECIAL
208	2	1	1.164	KG	79.85	68.6	BUFFET
208	3	1	3	UN	13.5	4.5	SUCO
209	1	1	0.33	KG	22.63	68.6	BUFFET
210	1	1	0.502	KG	34.43	68.6	BUFFET
211	1	1	1.05	KG	72.03	68.6	BUFFET
211	2	1	3	UN	13.5	4.5	REFRIGERANTE
212	1	1	0.344	KG	23.59	68.6	BUFFET
212	2	1	1	UN	12.8	12.8	CERVEJA
213	1	1	1	UN	6	6	CERVEJA
213	2	1	0.708	KG	48.56	68.6	BUFFET
214	1	1	3	UN	10.5	3.5	AGUA
214	2	1	1.112	KG	76.28	68.6	BUFFET
214	3	1	3	UN	13.5	4.5	REFRIGERANTE
215	1	1	3	UN	10.5	3.5	AGUA
215	2	1	0.678	KG	46.51	68.6	BUFFET
216	1	1	1	UN	4.5	4.5	LIMONADA
216	2	1	0.84	KG	57.62	68.6	BUFFET
216	3	1	3	UN	13.5	4.5	REFRIGERANTE
217	1	1	3	UN	10.5	3.5	AGUA
217	2	1	1	UN	1	1	CHA
217	3	1	3	UN	3	1	CHA
217	4	1	1	UN	16	16	WHISKY
217	5	1	0.798	KG	54.74	68.6	BUFFET
218	1	1	3	UN	10.5	3.5	AGUA
218	2	1	1.028	KG	70.52	68.6	BUFFET
218	3	1	3	UN	13.5	4.5	REFRIGERANTE
219	1	1	1	UN	38.4	38.4	YAKISSOBA
219	2	1	1	UN	43.2	43.2	YAKISSOBA
219	3	1	2.79	KG	191.39	68.6	BUFFET
219	4	1	6	UN	27	4.5	REFRIGERANTE
219	5	1	3	UN	13.5	4.5	REFRIGERANTE
219	6	1	6	UN	27	4.5	REFRIGERANTE
219	7	1	2	UN	9	4.5	CERVEJA
220	1	1	3	UN	10.5	3.5	AGUA
220	2	1	1.108	KG	76	68.6	BUFFET
221	1	1	1.382	KG	94.8	68.6	BUFFET
221	2	1	3	UN	13.5	4.5	REFRIGERANTE
222	1	1	3	UN	10.5	3.5	AGUA
222	2	1	3	UN	10.5	3.5	AGUA
222	3	1	1	UN	12.5	12.5	WHISKY
222	4	1	0.414	KG	28.4	68.6	BUFFET
223	1	1	0.914	KG	62.7	68.6	BUFFET
223	2	1	3	UN	13.5	4.5	REFRIGERANTE
224	1	1	1	UN	8	8	SOBREMESA
224	2	1	0.378	KG	25.93	68.6	BUFFET
225	1	1	1	UN	22.8	22.8	CERVEJA
225	2	1	2.03	KG	139.25	68.6	BUFFET
225	3	1	12	UN	54	4.5	REFRIGERANTE
226	1	1	0.722	KG	49.52	68.6	BUFFET
226	2	1	6	UN	27	4.5	REFRIGERANTE
227	1	1	3	UN	10.5	3.5	AGUA
227	2	1	1.236	KG	84.78	68.6	BUFFET
227	3	1	3	UN	13.5	4.5	REFRIGERANTE
228	1	1	0.63	KG	43.21	68.6	BUFFET
228	2	1	3	UN	13.5	4.5	REFRIGERANTE
229	1	1	1.244	KG	85.33	68.6	BUFFET
229	2	1	3	UN	13.5	4.5	REFRIGERANTE
229	3	1	2	UN	13	6.5	CERVEJA LATA
230	1	1	1	UN	1	1	CHA
230	2	1	1.13	KG	77.51	68.6	BUFFET
230	3	1	3	UN	13.5	4.5	REFRIGERANTE
231	1	1	3	UN	10.5	3.5	AGUA
231	2	1	1.49	KG	102.21	68.6	BUFFET
231	3	1	3	UN	13.5	4.5	REFRIGERANTE
231	4	1	3	UN	13.5	4.5	REFRIGERANTE
231	5	1	3	UN	13.5	4.5	REFRIGERANTE
232	1	1	1	UN	14.4	14.4	TEMAKI
232	2	1	0.404	KG	27.71	68.6	BUFFET
232	3	1	3	UN	13.5	4.5	REFRIGERANTE
233	1	1	3	UN	10.5	3.5	AGUA
233	2	1	1	UN	6	6	CERVEJA
233	3	1	1.168	KG	80.12	68.6	BUFFET
234	1	1	1	UN	25.6	25.6	SUSHI ESPECIAL
234	2	1	0.662	KG	45.41	68.6	BUFFET
234	3	1	6	UN	27	4.5	REFRIGERANTE
235	1	1	0.582	KG	39.92	68.6	BUFFET
235	2	1	2	UN	13	6.5	CERVEJA LATA
236	1	1	0.322	KG	22.08	68.6	BUFFET
236	2	1	1	UN	6.5	6.5	CERVEJA LATA
237	1	1	0.324	KG	22.22	68.6	BUFFET
237	2	1	3	UN	13.5	4.5	SUCO
238	1	1	2	UN	45.8	22.9	WHISKY
238	2	1	0.99	KG	67.91	68.6	BUFFET
239	1	1	3	UN	10.5	3.5	AGUA
239	2	1	3	UN	10.5	3.5	AGUA
239	3	1	0.848	KG	58.17	68.6	BUFFET
